practice_label,all_labels,n_observations,slug,filename,practice_family,image_prompt
Inorganic Fertilizer,Inorganic Fertilizer,2483,inorganic-fertilizer,inorganic-fertilizer.webp,Integrated soil fertility management,"Photorealistic documentary photograph on a smallholder farm in the Ethiopian highlands. Broadcasting granular mineral fertilizer (urea/DAP) along the crop rows. Natural daylight, realistic textures, sharp focus, high detail, 3:2 landscape (1200x800), centered composition, no text, no watermark, no logos."
Improved Varieties,Improved Varieties,841,improved-varieties,improved-varieties.webp,Crop production & management,"Photorealistic documentary photograph on a smallholder farm in the Ethiopian highlands. A vigorous, healthy improved crop variety standing in the field. Natural daylight, realistic textures, sharp focus, high detail, 3:2 landscape (1200x800), centered composition, no text, no watermark, no logos."
Intercropping,Intercropping,459,intercropping,intercropping.webp,Crop production & management,"Photorealistic documentary photograph on a smallholder farm in the Ethiopian highlands. Two crops intercropped in alternating rows, maize with climbing beans. Natural daylight, realistic textures, sharp focus, high detail, 3:2 landscape (1200x800), centered composition, no text, no watermark, no logos."
Water Harvesting,Water Harvesting,398,water-harvesting,water-harvesting.webp,Erosion control & water management,"Photorealistic documentary photograph on a smallholder farm in the Ethiopian highlands. A small rainwater-harvesting pond and catchment beside cropland. Natural daylight, realistic textures, sharp focus, high detail, 3:2 landscape (1200x800), centered composition, no text, no watermark, no logos."
Physical SWC measures,Physical SWC measures,340,physical-swc-measures,physical-swc-measures.webp,Erosion control & water management,"Photorealistic documentary photograph on a smallholder farm in the Ethiopian highlands. Stone and soil bund terraces across a sloping hillside for erosion control. Natural daylight, realistic textures, sharp focus, high detail, 3:2 landscape (1200x800), centered composition, no text, no watermark, no logos."
Inorganic Fertilizer-Organic Fertilizer,Inorganic Fertilizer-Organic Fertilizer,326,inorganic-fertilizer-organic-fertilizer,inorganic-fertilizer-organic-fertilizer.webp,Integrated soil fertility management,"Photorealistic documentary photograph on a smallholder farm in the Ethiopian highlands. Broadcasting granular mineral fertilizer (urea/DAP) along the crop rows and spreading well-rotted organic manure over the field. Natural daylight, realistic textures, sharp focus, high detail, 3:2 landscape (1200x800), centered composition, no text, no watermark, no logos."
Organic Fertilizer,Organic Fertilizer,302,organic-fertilizer,organic-fertilizer.webp,Integrated soil fertility management,"Photorealistic documentary photograph on a smallholder farm in the Ethiopian highlands. Spreading well-rotted organic manure over the field. Natural daylight, realistic textures, sharp focus, high detail, 3:2 landscape (1200x800), centered composition, no text, no watermark, no logos."
Deficit Irrigation,Deficit Irrigation | Deficit irrigation,290,deficit-irrigation,deficit-irrigation.webp,Erosion control & water management,"Photorealistic documentary photograph on a smallholder farm in the Ethiopian highlands. Efficient deficit irrigation of crop rows. Natural daylight, realistic textures, sharp focus, high detail, 3:2 landscape (1200x800), centered composition, no text, no watermark, no logos."
Supplemental Irrigation,Supplemental Irrigation,277,supplemental-irrigation,supplemental-irrigation.webp,Erosion control & water management,"Photorealistic documentary photograph on a smallholder farm in the Ethiopian highlands. Supplemental irrigation watering a green crop field. Natural daylight, realistic textures, sharp focus, high detail, 3:2 landscape (1200x800), centered composition, no text, no watermark, no logos."
Reduced Tillage,Reduced Tillage,221,reduced-tillage,reduced-tillage.webp,Crop production & management,"Photorealistic documentary photograph on a smallholder farm in the Ethiopian highlands. A minimum-tillage field with crop residue left on the surface. Natural daylight, realistic textures, sharp focus, high detail, 3:2 landscape (1200x800), centered composition, no text, no watermark, no logos."
